Book Id,Title,Author l-f,Date Read,My Rating,Average Rating,Publisher,Number of Pages,Original Publication Year
29751398,The Power,"Alderman, Naomi",2019/4/11,4,3.82,Viking,341,2016
425452,Le voyageur sans bagage,"Anouilh, Jean",2019/7/21,4,3.70,Gallimard,218,1937
29093326,What Light,"Asher, Jay",2019/2/10,2,3.58,Razorbill,251,2016
15790842,"Life After Life (Todd Family, #1)","Atkinson, Kate",2019/6/21,2,3.76,Reagan Arthur Books,531,2013
42975172,The Testaments,"Atwood, Margaret",2020/1/3,4,4.21,Nan A. Talese,422,2019
72579,Alias Grace,"Atwood, Margaret",2018/11/11,2,4.03,Doubleday Nan A. Talese,468,1996
24388326,The Heart Goes Last,"Atwood, Margaret",2018/1/24,4,3.37,Nan A. Talese,320,2015
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)","Atwood, Margaret",2017/05/01,5,4.11,Anchor Books,314,1985
34466979,Little Broken Things,"Baart, Nicole",2018/4/8,4,3.58,Atria Books,356,2017
22875075,Picnic in Provence: A Memoir with Recipes,"Bard, Elizabeth",2017/04/01,4,3.82,"Little, Brown and Company",384,2015
123942,A Very Easy Death,"Beauvoir, Simone de",2016/5/1,3,3.98,Pantheon,112,1964
30288282,The Immortalists,"Benjamin, Chloe",2020/05/01,3,3.72,G.P. Putnam's Sons,346,2018
26150557,At the Edge of Summer,"Brockmole, Jessica",2019/5/30,3,3.92,Ballantine Books,336,2016
32596814,Détour : Et autres histoires,"Broersma, Matt",2018/1/25,2,2.50,Coconino Press,75,
6185,Wuthering Heights,"Brontë, Emily",2017/07/18,3,3.85,Norton,464,1847
25731953,All Things Cease to Appear,"Brundage, Elizabeth",2018/5/1,4,3.71,Alfred A. Knopf,400,2016
41817486,A Clockwork Orange,"Burgess, Anthony",2019/8/31,4,4.00,W. W. Norton  Company,240,1962
17333426,"Egghead; or, You Can't Survive on Ideas Alone","Burnham, Bo",2017/06/01,3,4.10,Grand Central Publishing,240,2013
58345,The Awakening,"Chopin, Kate",2016/3/18,3,3.65,Elibron Classics,195,1899
853510,"Murder on the Orient Express (Hercule Poirot, #10)","Christie, Agatha",2017/11/01,3,4.17,HarperCollins,347,1934
139253,The House on Mango Street,"Cisneros, Sandra",2018/1/21,5,3.64,Vintage,110,1984
34374628,Next Year in Havana,"Cleeton, Chanel",2019/9/20,3,3.94,Penguin/Berkley,361,2018
42046112,Recursion,"Crouch, Blake",2020/3/27,4,4.18,Crown Publishing Group (NY),336,2019
27833670,Dark Matter,"Crouch, Blake",2018/9/23,4,4.10,Crown,342,2016
18143977,All the Light We Cannot See,"Doerr, Anthony",2018/11/26,5,4.33,Scribner,531,2014
13152287,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting,"Druckerman, Pamela",2019/8/21,4,3.99,Random House Audio,10,2012
